id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,weight_norm,ram_norm,price_norm,graphics_norm,disk_norm,battery_norm,display_norm,processor_norm,max_memory_norm,image_url,rating
33,Acer,Extensa 15,1.9,4,27490,0,256,6,15.6,3.1,8,https://amazon.in/Acer-Extensa-Processor-Business-EX215-31/dp/B09LLQ1WL2/ref=sr_1_114?keywords=laptop&qid=1654755268&sr=8-114,1.430051813,1,1.077319588,1,1.2,1.2,1.645653279,1.555555556,1.142857143,https://m.media-amazon.com/images/I/41x+tsdSpzL._SY300_SX300_.jpg,3.3 out of 5 stars
34,HP,laptop,1.69,8,43490,0,512,8,15.6,4.1,16,https://amazon.in/HP-Processor-39-62cms-Integrated-15s-fr2006TU/dp/B08XNYH4LX/ref=sr_1_115?keywords=laptop&qid=1654755268&sr=8-115,1.321243523,1.333333333,1.242268041,1,1.466666667,1.4,1.645653279,1.833333333,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/41dVEjLksQL._SY300_SX300_QL70_ML2_.jpg,4.2 out of 5 stars
35,Dell,Vostro 3510,1.8,8,40990,0,512,8,15.6,1.2,16,https://amazon.in/Dell-i3-1005G1-Office21-39-62Cms-ICC-D585033WIN8/dp/B09TNXCZ3T/ref=sr_1_116?keywords=laptop&qid=1654755268&sr=8-116,1.378238342,1.333333333,1.216494845,1,1.466666667,1.4,1.645653279,1.027777778,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/31UAVQ8rrgL._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars
36,Lenovo,Ideapad Gaming 3i,2.2,8,54990,4,512,7,15.6,2.5,16,https://amazon.in/Lenovo-IdeaPad-15-6-inch-Windows-81Y4017UIN/dp/B094XF92HG/ref=sr_1_117?keywords=laptop&qid=1654755268&sr=8-117,1.585492228,1.333333333,1.360824742,1.25,1.466666667,1.3,1.645653279,1.388888889,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/51hpsGSvHRL._SX300_SY300_QL70_ML2_.jpg,4.0 out of 5 stars
37,ASUS,Vivobook 14,1.6,8,37990,0,512,6,15.98425197,4.1,12,https://amazon.in/ASUS-Vivobook-i3-1115G4-X415EA-EB322WS-Transparent/dp/B09R5PKLH8/ref=sr_1_118?keywords=laptop&qid=1654755268&sr=8-118,1.274611399,1.333333333,1.18556701,1,1.466666667,1.2,1.707676665,1.833333333,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41DHBo5r6hL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
38,Lenovo,IdeaPad 1 11IGL05,1.2,4,28990,0,512,7,11.6,1.1,4,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT0071IN/dp/B09G9ZPV38/ref=sr_1_119?keywords=laptop&qid=1654755268&sr=8-119,1.067357513,1,1.092783505,1,1.466666667,1.3,1,1,1,https://m.media-amazon.com/images/I/41F52ef+pdL._SX300_SY300_.jpg,4.0 out of 5 stars
39,Dell,VOSTRO 14 5415,1.4,8,53990,0,512,8,14,2.1,16,https://amazon.in/Dell-14-Office21-5415-D552205WIN9S/dp/B09NLSCTQG/ref=sr_1_120?keywords=laptop&qid=1654755268&sr=8-120,1.170984456,1.333333333,1.350515464,1,1.466666667,1.4,1.387391967,1.277777778,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/41wtd-EZ39S._SX300_SY300_QL70_ML2_.jpg,3.8 out of 5 stars
40,Dell,Inspiron 3515,1.8,4,34990,0,512,8,15.6,2.3,16,https://amazon.in/Dell-Office21-Inspiron-3515-D560702WIN9BE/dp/B09NLRSKV3/ref=sr_1_121?keywords=laptop&qid=1654755268&sr=8-121,1.378238342,1,1.154639175,1,1.466666667,1.4,1.645653279,1.333333333,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/41ASSw3ECzL._SX300_SY300_QL70_ML2_.jpg,4.0 out of 5 stars
41,ASUS,VivoBook 14 (2021),1.6,8,38790,0,512,6,15.98425197,3.4,12,https://amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-EK562WS/dp/B09LJ3CY87/ref=sr_1_122?keywords=laptop&qid=1654755268&sr=8-122,1.274611399,1.333333333,1.193814433,1,1.466666667,1.2,1.707676665,1.638888889,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41DHBo5r6hL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
42,ASUS,KM513UA-L503TS,1.8,8,60990,0,1024,4,15.6,2.1,12,https://amazon.in/ASUS-VivoBook-OLED-Ryzen-5500U/dp/B09R2225VB/ref=sr_1_123?keywords=laptop&qid=1654755268&sr=8-123,1.378238342,1.333333333,1.422680412,1,2,1,1.645653279,1.277777778,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41yVsOy0xwL._SY300_SX300_QL70_ML2_.jpg,5.0 out of 5 stars
43,HP,15-ec2146AX,1.98,16,79990,4,512,8,15.59055118,4.4,16,https://amazon.in/HP-Pavilion-Windows-Graphics-15-ec2146AX/dp/B09MF6F4GH/ref=sr_1_124?keywords=laptop&qid=1654755268&sr=8-124,1.471502591,2,1.618556701,1.25,1.466666667,1.4,1.644128114,1.916666667,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/41j6O0FtwTL._SX300_SY300_QL70_ML2_.jpg,4.7 out of 5 stars
44,HP,Chromebook 11a-na0005MU,1.07,4,19990,4,64,12,11.6,2,4,https://amazon.in/HP-Chromebook-11-6-inch-Touchscreen-11a-na0002MU/dp/B08WPNPTDD/ref=sr_1_125?keywords=laptop&qid=1654755268&sr=8-125,1,1,1,1.25,1,1.8,1,1.25,1,https://images-eu.ssl-images-amazon.com/images/I/41vPVaFL41L._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars
45,Dell,Inspiron 3515,1.8,8,40990,0,512,8,15.6,2.6,32,https://amazon.in/Dell-Inspiron-Ryzen3-3250U-Office21-D560795WIN9S/dp/B09TNWMSTN/ref=sr_1_126?keywords=laptop&qid=1654755268&sr=8-126,1.378238342,1.333333333,1.216494845,1,1.466666667,1.4,1.645653279,1.416666667,2,https://images-eu.ssl-images-amazon.com/images/I/41OqKOyXLcL._SX300_SY300_QL70_ML2_.jpg,5.0 out of 5 stars
46,LG,laptop,1.35,16,88490,0,512,8,17,2.8,16,https://amazon.in/LG-Gram-Intel-Light-Laptop/dp/B09MHV4CHB/ref=sr_1_127?keywords=laptop&qid=1654755268&sr=8-127,1.14507772,2,1.706185567,1,1.466666667,1.4,1.871631927,1.472222222,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/416Am14drmL._SY300_SX300_QL70_ML2_.jpg,4.6 out of 5 stars
47,HP,15-ec2145AX,1.98,8,69990,4,512,8,15.59055118,4.2,16,https://amazon.in/HP-Pavilion-Windows-Graphics-15-ec2145AX/dp/B09MF6MD5L/ref=sr_1_128?keywords=laptop&qid=1654755268&sr=8-128,1.471502591,1.333333333,1.515463918,1.25,1.466666667,1.4,1.644128114,1.861111111,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/41j6O0FtwTL._SX300_SY300_QL70_ML2_.jpg,4.5 out of 5 stars
