id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,image_url,rating,weight_norm,ram_norm,price_norm,graphics_norm,disk_norm,battery_norm,display_norm,processor_norm,max_memory_norm
30,Lenovo,laptop,1.3,8.0,34190.0,0.0,512.0,6.9,12.5,3.3,16.0,https://amazon.in/Renewed-Lenovo-Thinkpad-Laptop-Intel/dp/B08SM4ZX98/ref=sr_1_29?keywords=laptop&qid=1656489481&sr=8-29,https://images-eu.ssl-images-amazon.com/images/I/41K7ocyhHpL._SY300_SX300_QL70_ML2_.jpg,3.0 out of 5 stars,1.2451591729570068,1.0551181102362204,1.1091358325623653,1.0,1.2440944881889764,1.3483870967741935,1.2741500269832704,1.6216216216216215,1.2
31,Lenovo,laptop,1.75,8.0,31999.0,0.0,512.0,1.5,14.0,1.6,8.0,https://amazon.in/Renewed-Lenovo-Thinkpad-Bluetooth-Graphics/dp/B0B3J12467/ref=sr_1_30?keywords=laptop&qid=1656489481&sr=8-30,https://images-eu.ssl-images-amazon.com/images/I/51rJ27NQqAL._SX300_SY300_QL70_ML2_.jpg,3.0 out of 5 stars,1.3928454217262882,1.0551181102362204,1.0969979336210385,1.0,1.2440944881889764,1.0,1.4797625472207232,1.1621621621621625,1.0666666666666669
32,Acer,laptop,1.9,4.0,27281.0,0.0,1024.0,7.0,15.6,3.1,8.0,https://amazon.in/Acer-Processor-Business-Integrated-EX215-31/dp/B095BYNN8Z/ref=sr_1_31?keywords=laptop&qid=1656489481&sr=8-31,https://images-eu.ssl-images-amazon.com/images/I/41lwxk9Py-S._SY300_SX300_QL70_ML2_.jpg,3.3 out of 5 stars,1.4420741713160483,1.0236220472440944,1.0708607327058484,1.0,1.4960629921259845,1.3548387096774197,1.6990825688073392,1.5675675675675675,1.0666666666666669
33,HP,laptop,1.69,8.0,36450.0,0.0,512.0,6.9,15.6,3.7,16.0,https://amazon.in/15S-11Th-Gen-Intel-Core-Micro-Edge/dp/B09S9YDLLJ/ref=sr_1_32?keywords=laptop&qid=1656489481&sr=8-32,https://images-eu.ssl-images-amazon.com/images/I/51cFZR0VpkL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars,1.373153921890384,1.0551181102362204,1.1216559839121596,1.0,1.2440944881889764,1.3483870967741935,1.6990825688073392,1.7297297297297298,1.2
34,Lenovo,laptop,1.75,8.0,29999.0,0.0,256.0,1.5,14.0,1.6,8.0,https://amazon.in/Renewed-Lenovo-Thinkpad-Bluetooth-Graphics/dp/B0B3HZSWRG/ref=sr_1_33?keywords=laptop&qid=1656489481&sr=8-33,https://images-eu.ssl-images-amazon.com/images/I/51rJ27NQqAL._SX300_SY300_QL70_ML2_.jpg,3.0 out of 5 stars,1.3928454217262882,1.0551181102362204,1.0859181536654685,1.0,1.1181102362204725,1.0,1.4797625472207232,1.1621621621621625,1.0666666666666669
35,Lenovo,laptop,1.75,16.0,33999.0,0.0,256.0,1.5,14.0,1.6,16.0,https://amazon.in/Renewed-Lenovo-Thinkpad-Bluetooth-Graphics/dp/B0B3HY8927/ref=sr_1_34?keywords=laptop&qid=1656489481&sr=8-34,https://images-eu.ssl-images-amazon.com/images/I/51rJ27NQqAL._SX300_SY300_QL70_ML2_.jpg,3.0 out of 5 stars,1.3928454217262882,1.1181102362204725,1.1080777135766084,1.0,1.1181102362204725,1.0,1.4797625472207232,1.1621621621621625,1.2
36,HP,laptop,1.8,8.0,35090.0,0.0,256.0,6.9,14.0,3.3,16.0,https://amazon.in/Renewed-HP-Elitebook-UltraSlim-Laptop/dp/B094N52C4N/ref=sr_1_35?keywords=laptop&qid=1656489481&sr=8-35,https://images-eu.ssl-images-amazon.com/images/I/41OIrV4-9EL._SY300_SX300_QL70_ML2_.jpg,3.0 out of 5 stars,1.409255004922875,1.0551181102362204,1.114121733542372,1.0,1.1181102362204725,1.3483870967741935,1.4797625472207232,1.6216216216216215,1.2
37,Acer,laptop,2.6,16.0,194999.0,8.0,1024.0,6.9,15.6,4.7,32.0,https://amazon.in/Acer-Predator-i7-12700H-Graphics-PH315-55/dp/B0B29B4FV6/ref=sr_1_36?keywords=laptop&qid=1656489481&sr=8-36,https://images-eu.ssl-images-amazon.com/images/I/41TAZ1VMx5L._SX300_SY300_QL70_ML2_.jpg,3.0 out of 5 stars,1.6718083360682638,1.1181102362204725,2.0,1.0625,1.4960629921259845,1.3483870967741935,1.6990825688073392,2.0,1.4666666666666668
38,ASUS,laptop,2.3,8.0,96990.0,4.0,512.0,6.9,17.79527559055118,4.6,32.0,https://amazon.in/ASUS-15-6-inch-i7-11800H-GeForce-RTX-3050-FX566HC-HN093T/dp/B0987SKPZ3/ref=sr_1_35?keywords=laptop&qid=1656489484&sr=8-35,https://images-eu.ssl-images-amazon.com/images/I/517tAyLfhOL._SX300_SY300_QL70_ML2_.jpg,4.8 out of 5 stars,1.573350836888743,1.0551181102362204,1.457040923167266,1.03125,1.2440944881889764,1.3483870967741935,2.0,1.9729729729729728,1.4666666666666668
39,HP,HP Laptop 15s-gr0012AU,1.82,8.0,38999.0,0.0,1024.0,6.9,15.6,2.6,16.0,https://amazon.in/HP-3-3250-Laptop-Windows-15s-gr0012AU/dp/B08T6THSMQ/ref=sr_1_37?keywords=laptop&qid=1656489484&smid=A2JRT5V3UPLILP&sr=8-37,https://images-eu.ssl-images-amazon.com/images/I/41Z5NEsKo9L._SY300_SX300_QL70_ML2_.jpg,4.3 out of 5 stars,1.4158188382015096,1.0551181102362204,1.1357771634655336,1.0,1.4960629921259845,1.3483870967741935,1.6990825688073392,1.4324324324324325,1.2
40,MSI,laptop,1.86,8.0,56990.0,4.0,1024.0,6.9,15.748031496062993,4.5,64.0,https://amazon.in/MSI-i5-10500H-Windows-GTX1650-10SC-611IN/dp/B09YTVB91N/ref=sr_1_38?keywords=laptop&qid=1656489484&sr=8-38,https://images-eu.ssl-images-amazon.com/images/I/412gm9s4RFL._SX300_SY300_QL70_ML2_.jpg,3.1 out of 5 stars,1.428946504758779,1.0551181102362204,1.2354453240558645,1.03125,1.4960629921259845,1.3483870967741935,1.719373988127361,1.945945945945946,2.0
41,Lenovo,laptop,1.4,16.0,59990.0,0.0,512.0,6.0,14.0,2.4,40.0,https://amazon.in/Lenovo-ThinkBook-35-56cm-Graphics-20VDA0TLIH/dp/B09V4JXLJ7/ref=sr_1_39?keywords=laptop&qid=1656489484&sr=8-39,https://images-eu.ssl-images-amazon.com/images/I/51CgbCTiwlL._SY300_SX300_QL70_ML2_.jpg,3.9 out of 5 stars,1.2779783393501805,1.1181102362204725,1.2520649939892194,1.0,1.2440944881889764,1.2903225806451613,1.4797625472207232,1.3783783783783785,1.6
42,Honor,laptop,1.38,8.0,42990.0,0.0,512.0,13.2,14.0,1.6,8.0,https://amazon.in/Honor-MagicBook-i5-10210U-Anti-Glare-NobleBR-WAH9E/dp/B09VPV1HCG/ref=sr_1_40?keywords=laptop&qid=1656489484&sr=8-40,https://images-eu.ssl-images-amazon.com/images/I/31tWQlYOcaL._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars,1.2714145060715456,1.0551181102362204,1.1578868643668736,1.0,1.2440944881889764,1.7548387096774194,1.4797625472207232,1.1621621621621625,1.0666666666666669
43,HP,laptop,2.48,8.0,61490.0,4.0,512.0,4.0,16.1,4.2,32.0,https://amazon.in/HP-RX5500M-Graphics-Flicker-16-e0162AX/dp/B098QBT5KT/ref=sr_1_42?keywords=laptop&qid=1656489484&sr=8-42,https://images-eu.ssl-images-amazon.com/images/I/31PHkNlAXRS._SY300_SX300_QL70_ML2_.jpg,4.3 out of 5 stars,1.6324253363964556,1.0551181102362204,1.260374828955897,1.03125,1.2440944881889764,1.1612903225806452,1.767620075553157,1.864864864864865,1.4666666666666668
44,HP,laptop,1.75,8.0,45000.0,0.0,512.0,4.0,15.6,3.7,16.0,https://amazon.in/HP-Anti-Glare-Graphics-Alexa-Built-15s-dy3501TU/dp/B09P1PYGX5/ref=sr_1_45?keywords=laptop&qid=1656489484&sr=8-45,https://images-eu.ssl-images-amazon.com/images/I/41lGAedXWpL._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars,1.3928454217262882,1.0551181102362204,1.1690220432222216,1.0,1.2440944881889764,1.1612903225806452,1.6990825688073392,1.7297297297297298,1.2
45,Dell,laptop,1.8,8.0,36490.0,0.0,1024.0,6.9,15.6,1.7,16.0,https://amazon.in/Dell-Inspiron-I3-1115G4-Office21-D560651Win9S/dp/B09PVD3CJY/ref=sr_1_46?keywords=laptop&qid=1656489484&sr=8-46,https://m.media-amazon.com/images/I/41O5X+hIaPL._SY300_SX300_.jpg,3.3 out of 5 stars,1.409255004922875,1.0551181102362204,1.121877579511271,1.0,1.4960629921259845,1.3483870967741935,1.6990825688073392,1.1891891891891893,1.2
