id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,image_url,rating
47,ASUS,,1.8,16.0,74990,,512.0,10.0,17.79527559055118,4.5,24.0,https://amazon.in/ASUS-Vivobook-Intel-Core-Evo-i5-12500H-K3502ZA-L502WS/dp/B09YHCTHDY/ref=sr_1_112?keywords=laptop&qid=1656489495&sr=8-112,https://images-eu.ssl-images-amazon.com/images/I/41FnnZAIDOL._SX300_SY300_QL70_ML2_.jpg,4.0 out of 5 stars
48,MSI,,2.25,,75890,4.0,512.0,4.0,15.748031496062993,4.5,64.0,https://amazon.in/MSI-Katana-GF66-i5-11400H-11UD-876IN/dp/B09WN4SRWV/ref=sr_1_113?keywords=laptop&qid=1656489495&sr=8-113,https://images-eu.ssl-images-amazon.com/images/I/41oSXXno98L._SX300_SY300_QL70_ML2_.jpg,4.4 out of 5 stars
49,HP,HP 245 G8,1.7,4.0,32490,,1024.0,,16.968503937007874,2.1,16.0,https://amazon.in/HP-245-G8-AMD-Ryzen/dp/B092HMYLLN/ref=sr_1_114?keywords=laptop&qid=1656489495&sr=8-114,https://images-eu.ssl-images-amazon.com/images/I/3192ObJ8rZL._SY300_SX300_QL70_ML2_.jpg,3.2 out of 5 stars
50,Lenovo,82H70175IN,1.41,16.0,60990,,,,14.0,4.2,16.0,https://amazon.in/Lenovo-IdeaPad-Backlit-Warranty-82H70175IN/dp/B09M3ZCFWR/ref=sr_1_115?keywords=laptop&qid=1656489495&sr=8-115,https://images-eu.ssl-images-amazon.com/images/I/51g3U5pxFRL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
51,HP,,1.52,8.0,55539,,,,14.0,2.0,16.0,https://amazon.in/Pavilion-Multitouch-Windows-Graphics-14-Dy0207Tu/dp/B09VT6BVJF/ref=sr_1_116?keywords=laptop&qid=1656489495&sr=8-116,https://images-eu.ssl-images-amazon.com/images/I/41bGmMz-crL._SX300_SY300_QL70_ML2_.jpg,4.4 out of 5 stars
52,HP,Eq2143AU,1.69,8.0,37849,,512.0,,15.6,3.8,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg7_1?ie=UTF8&adId=A06028451XZW3A719E10X&url=%2FMicro-Edge-Anti-Glare-Graphics-Speakers-15S-Eq2143Au%2Fdp%2FB09R1MMMTH%2Fref%3Dsr_1_117_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489495%26sr%3D8-117-spons%26psc%3D1&qualifier=1656489495&id=2961859091220469&widgetName=sp_btf,https://m.media-amazon.com/images/I/516+4J0tZlL._SY300_SX300_.jpg,3.7 out of 5 stars
53,HP,14s-fq1092au,1.46,8.0,47154,8.0,512.0,,14.0,4.0,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg7_1?ie=UTF8&adId=A08324291BQ7ENQ9VMB94&url=%2FHP-Micro-Edge-Graphics-Keyboard-14s-fq1092au%2Fdp%2FB09R1L73TM%2Fref%3Dsr_1_118_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489495%26sr%3D8-118-spons%26psc%3D1&qualifier=1656489495&id=2961859091220469&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41qola4WFTL._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars
54,Lenovo,,1.65,8.0,38480,,512.0,6.0,15.6,3.0,12.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg8_1?ie=UTF8&adId=A01647353NEETOWYOLQZF&url=%2FLenovo-IdeaPad-Windows-Warranty-82H802FJIN%2Fdp%2FB09Q5QLHSQ%2Fref%3Dsr_1_113_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489498%26sr%3D8-113-spons%26psc%3D1&qualifier=1656489498&id=4037730115212175&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/51tbcILVglL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
55,Lenovo,,1.2,4.0,23890,,,8.0,11.6,2.8,4.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg8_1?ie=UTF8&adId=A0165471KW0SE1EV22VA&url=%2FLenovo-IdeaPad-Celeron-Platinum-81VT009UIN%2Fdp%2FB09V7ZJYBN%2Fref%3Dsr_1_114_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489498%26sr%3D8-114-spons%26psc%3D1&qualifier=1656489498&id=4037730115212175&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/41F52ef+pdL._SX300_SY300_.jpg,3.8 out of 5 stars
56,AVITA,,1.3,4.0,22374,4.0,128.0,8.0,14.1,2.8,4.0,https://amazon.in/AVITA-SATUS-S111-NU14A1INC43PN-CS-35-81cms/dp/B09V735YV1/ref=sr_1_115?keywords=laptop&qid=1656489498&sr=8-115,https://images-eu.ssl-images-amazon.com/images/I/41lB0K93TDL._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars
57,HP,,0.97,16.0,65990,,,,13.3,4.2,32.0,https://amazon.in/HP-Pavilion-Ultra-Thin-Anti-Glare-13-be0206AU/dp/B09HV4B42C/ref=sr_1_116?keywords=laptop&qid=1656489498&sr=8-116,https://images-eu.ssl-images-amazon.com/images/I/41UKf8vKt2L._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
58,HP,14s-dr2016tu,1.69,8.0,56100,,512.0,,14.0,4.2,16.0,https://amazon.in/HP-Processor-Windows-Graphics-14s-dr2016tu/dp/B092MS22P1/ref=sr_1_117?keywords=laptop&qid=1656489498&sr=8-117,https://images-eu.ssl-images-amazon.com/images/I/41ewlc1t3OL._SY300_SX300_QL70_ML2_.jpg,4.2 out of 5 stars
